Esquema Terapêutico,Frequência
A/C,246
AC+TRASTUZUMABE,246
DOCETAXEL+CICLO,245
DOXORRUBICINAHE,243
AD,243
ACT/HRCEPTIN,240
ac+txt,237
T-AC,235
AC TXT,235
CDDP,234
"ACT,",234
IV,233
ZOMETA,232
DOCETAXEL+CARBO,230
DC,229
ARIMIDEX (ANAST,228
AC-TCETAXEL,228
"ANASTROZOL,",227
ACT-H,225
AC+PACLITAXEL,223
AC/TXT,222
TAXOL/ADRIA,222
"TXT,AC",220
"TAXOL, TRASTUZU",218
AC +DCT,218
AC- T,218
TXT +,217
DOXOICLO,214
PCT/CB,214
AC-DOCETAXEL,213
EC-T,212
CICLODOXO,212
TAXOL+TRASTUZUM,210
AC /CEPTIN,210
"TAXOL,AC,HERCEP",208
"ACT,TRASTUZUMA",207
AC-TAOTERE,206
CARBOPLATINA +,206
INIBIDOR DE ARO,206
AC-TXT,206
XELOD,205
ADRIAMICINACICL,204
4AC-12TC,202
AC +TAXOL,202
AC: ADM+CTX+DOC,201
D1CA,201
DOCET,198
CARBOPLATINAPAC,198
CDDP/GENZAR,194
QUIMIOTERAPIA E,193
"FAC,",192
"AC,PACLITAXEL,",192
Taxol,191
3AC+3DOCETAXEL,190
ACTAXOL,190
ac___,188
AC  T,188
EXEMESTANO,188
doxorrubicinaci,187
PACLITAXELCARBO,184
FAC+TAXOTERE,183
taxolherceptin,183
PACLITAXEL SEMA,182
CARBO+ TAXOL,182
AC-DH,181
CARBOPLA+TAXOL,180
TAXOL+AC,179
CARBOPLATINA/PA,179
34+46+120,178
"ADRIAMICINA,CIC",178
ADRIAMICINA-CIC,178
T,176
PACLITAXEL+CARB,176
ANASTROZOL+HERC,174
TAXOL/EPI,174
PACLITAXEL/ADRI,174
"TAXOL, AC, HERC",174
AC/TA,173
PACLITAXEL AC,172
ac-d,172
ANASTRO,170
AC-TPACLITAXE,170
TC-H,169
DOCE+CICLO,167
Trastuzumabe+AC,164
DOXO+CICLO+PACL,163
AC-CICLOF/DOXO,161
HERCEPTIN+TMX,160
AC TAXANE,160
CICLO+DOXORRU,160
CICLO,159
"PACLITAXEL,AC",158
FAC/T,158
Paclitaxel(120),156
ANASTR,156
DOCETAXEL+HERCE,155
TRASTU/DOCE/CAR,154
Anastrozol1mg,154
DOXO/CTD,152
DOCETAXEL/CICLO,152
EVOTA,152
ACTD,151
TAXOLSEMANAL,151
"AC, CARBOPLATIN",149
FEC100,148
QUIMIO,148
AC-DOETAXEL,147
DOCETAXEL+TRAST,146
DOXORRUBICINAPA,146
CARBOPLATINA,146
CDDP/EPI,146
FAC+DCT,145
FAC- FLUOROUR,144
AC-T/RCEPTIN,144
doxo/iclo,144
CAPEC,143
"GENUXAL, DOXORR",142
AC-TAXOTERE,142
AC+TAXOL+TRASTU,142
DOCE/TRASTUZU,140
AC+HERCEPTIN,139
"CARBO+ TAXOL,",138
"PACLITAXEL,TRAS",138
tamoxifeno,138
ac-t/rceptin,138
PACLITAXEL / TR,137
CICLO/DOXO/TAXO,136
ac txt,135
ANZ,135
AC CICLO/DOXO,135
"ADRIAMICINA,",134
TRANSTUZUMABE,134
TAXOL+CARBOPLAT,133
FACFAC,133
ACT H,132
TXT EPI,132
AC-T/HERCEPTIN,131
Ac,130
EC+T,130
paclitaxeltrast,130
AC-TT DOCETAXE,130
FASLODEX,129
ac t,129
herceptin,129
"PACLITAXEL,AC,T",128
TRASTU+AC+TAXOL,128
TAXOL/ CARBOPL,128
CARBO+PACLITAXE,128
txt,126
"TAXOTERE, AC",126
TAXOL/GEMZAR,126
Paclitaxel80mgm,124
Doxorrubicina+C,124
A C,124
CARBOPLATINA+DO,123
ADRIAMICINA CI,122
A,122
HERCEPTIN-PACLI,122
AC/ TAXOL,122
"PACLITAXEL,CICL",122
4AC+AT,120
TAMOXIFENO 20MG,119
ACDD,118
CARBO+DOCETAXEL,118
GZ/CDDP,118
ZOLA+TMX,117
"CARBOPLATINA,PA",117
"CICLO,DOXO",116
AC-T(OCETAXEL),116
CAF,115
fac,115
"TRASTUZUMAB, TX",114
AC D1,114
CARBO+PACLI,113
CLORIDRATO DE D,112
AC/PACLI,112
AC/HECEPTIN,112
AC +DOCETAXEL,111
FAC-(FLUO+DOX,110
CARBO/TAXOL/AC,110
Ac-T,110
TAXOL+ AC,110
11,110
DOCE+HERCEPTIN,110
ADRIBLASTINA+CI,110
FAC/DCT,109
AC+TAXANE,109
AC-TOCETAXEL),108
tamox,108
4AC +T,108
AC+TAXOL (PACLI,108
46+34+29+120,106
4AC+12PTX,106
X,106
DOCETAXEL+CTX,105
FULVESTRANTO,104
TAMOXTAMOXIFENO,104
AC+TAXOTERE,104
AC+DO,104
PACLITAXEL PLEN,104
CARBO/PACLI,103
"TAXOL,AC",102
CARBOPLA+PACLI,102
"AC, DOCETAXEL",102
ACT CLASSICO-,102
SS,102
AC PACLITAXEL,101
AC-CICLO/DOXO,101
AC/CARBO/TAXOL,101
CISPLATINA,101
ANSTROZOL,101
AC+TX+TRAST,100
GEMZAR,99
DOCETAXEL NEO/A,99
TRAST/DOCE/CARB,98
anastrozol neoa,98
AC-TAOL,98
"CTX,DOCETAXEL",98
TAMOXIFENO - 37,97
AC-DCT,97
PACLITAXEL/TRAS,96
DOCETLOFOSFAMID,96
FAC/TXT,96
AC+TAX,96
"ARIMIDEX,",96
facX3,95
TAXOLAC,95
PACLIHERCEPTIN,94
PACLI+CARBO,94
"CARBOPLATINA, A",94
"TAXOL, CARBO",93
CICLO+DOXORRUBI,93
"AC-T,",93
DE,92
"TAXOL, CICLOSFO",92
Letrozol,92
ADRIA/CISPLATIN,92
TAXOL/TH,92
ACX6,92
CARBO/TAXOTERE,92
AC-Ta,92
FEMARA,91
ac+ txt,91
EC,91
A-C,90
PACLITACEL,90
AC+TXT+HERCEPTI,90
AC/ HCEPTIN,90
DOXOCICLO PACL,90
DOXI/CICLO/TAXO,90
"AC,TAXOL,",90
PACTACLIXEL,90
ADM+CTX,88
HERCEPTINTAXOL,88
anastrazol,88
AC-TPACLITAXEL,88
PaclitaxelHerce,88
CARBOPLATINA+PA,86
anastrozaol,86
PACLI/CARBO,86
"4AC,4T,",86
AC-THPACLITAXEL,86
DOCE/CARBO/TRAS,86
AC+ T,85
GEMZAR/CDDP,85
TAXOLEHERCEPTIN,84
CARBOTAXOLAC,84
EV,84
PTX +AC,84
AC/TH,84
CARBOINA + TAXO,84
DOXORRU/CICLOFO,83
DOXORRUBICINA +,83
DOCETAXELCICLO,82
ANAS,82
doxorrubicina,82
DOCE/CICLO,81
T - A,80
TAXOL/GENZAR,80
ac/heceptin,80
CICLOFO+DOCETA,80
HERCETPIN,80
29+120,79
DOXORRU+CICLOFO,79
ANAST1MG,78
Ac+Trastuzumabe,78
TXT+HERCEPTIN,78
ANASTROZOL  - 1,78
letrozol,78
AC+TAXOL+CARBO,78
"CTX,DOCETAXEL,",78
"TAXOL, AC, TRAS",78
"AC- DOXO+CICLO,",78
EPI/CDDP,76
ADRIMICINACICLO,76
TZB,76
DOXOR,76
AC-ta,76
AC SEGUIDO DE T,76
4AC+T,76
TX,76
CICLO/ DOXORRUB,76
AC+T+HERCEPTIN,75
CARBOPLATINA /,75
ZMT+FASLO,75
DOXO/CICLOFOSFA,74
AC+T+H,74
AC/PACLITAXEL,74
DOCE+CARBO,74
DOCETAXELTRASTU,72
paclitaxelherce,72
"AC, PACLITAXEL,",72
DOCETAXELHERCEP,72
AC/PACLI/CARBO,72
CARBO+PTX,72
Doxo+Ciclo,72
AC-,71
AC-T+ HERCEPTI,71
TAXOL+ HCP ADJ,70
TCHP,70
DOCE+CICLO+FILG,70
AC CARBO/TAXOL,70
AC+PCT,70
DOXORLOFOSFAMID,70
DOCE+TRAST,70
HERCEPTIN+ANAST,70
ADM,69
AC-T/TXT,69
ac -t,69
AC-T(DOXO+CICL,69
AC-TRCEPTIN,68
TAXOL+ TRASTUZ,68
AC/TAXOL/CARBO,68
GENZAR/CDDP,68
PACLITAXEL + TR,68
DocetaxelHercep,68
4AC-12TH,68
DOCE/TRASTUZUMA,68
HCP,67
TRAST,67
ac +TXT,67
ac+t,67
AC+ TXT,67
"TRASTUZUMAB, AC",67
DOCET. + TRASTU,67
"TAXOL,AC,TRASTU",66
4AC/1TC,66
TRASTUZU/DCT/CB,66
"HERCEPTIN, TAXO",66
FILGRASTIMA 300,66
HERCEPTIM/TAXOL,66
AC T_,66
AC+T+TRASTUZUMA,66
CARBO+DOCETAXE,66
FAC -FLUOROURA,65
CARBO+DOCE+TRAS,65
DOCETAXEL/HERCE,65
DOXO+CICLO+TAXO,65
HERCE,65
4T+HERCEPTIN,64
GENCITABINA,64
ADRIA/TAXOTERE,64
029CARBOPLATINA,64
ACT+HERCEPTIN,64
AC +PTX,64
AC+TX+TRASTU,64
AC/T/TRASTUZUMA,64
AC TAXOTERE,64
AC X,64
TAMOXIFENO+HERC,64
LETR,63
TXT/HERCEPTIN,63
AC FILGRASTIM,63
XELODA 500MG CO,63
AC- TAXOL,63
"TAXOL,HERCEPTIM",62
AC +TXT + H,62
AC DOCETAXEL,62
ADRIA/CDDP,62
4AC+12TC,62
ADRIA/CIS,62
TRASTU/DOCE,62
CARBOPLA+DOCETA,62
AC +TH,62
TAXOL+ CARBO,61
TAXOLTRASTUZUMA,61
TAXOTERE + CARB,60
4AC /TH,60
"DOXORRUBICINA,C",60
TAXOL/CDDP,60
doxor,60
pacli,60
ac +,60
cicloFOSFAMIDA,60
ANASTROZOL1MG,60
FAC-DCT,60
CDDP/GEMZAR,60
TRASTU+PACLI,60
AC-PACLI,60
ZOLADEX,60
"PACLITAXEL, AC,",60
TAXOL+ HERCEPT,59
DOXO/CTX,59
DOXOCICLO FILG,59
ACTCLASSICO-,58
TAXOL/AC/TRASTU,58
AC+DOCE,58
ac -,58
TAMOXIFE,58
4AC/4TAXOL,58
GENZAR+CDDP,58
4AC/TAXOL,58
HERCEPTIN/DOCE,58
HERCEPTIN + TAM,58
4AC/1TH,58
TAXOTERE+CARBO,58
DOXO/GENUXAL,58
CICLO/DOXI/TAXO,58
"PACLIT,AC,TRAST",58
4AC +4T,57
CICLO/DOXO/PACL,57
CDDP+GZ,57
DOCETAXELCICLOF,56
ADRIA+CICLO,56
TAXILAN,56
PACLIT,56
AC SEUIDODETAXA,56
VO VIA ORAL,56
"DOCETAXEL,HERCE",56
TRAS/DOCE/CARBO,56
ACP,56
DOCE/ICLO,56
ac-txt,55
CARBOPLATINA+TA,55
carbotaxol,55
ADRIAMICINA+CIC,55
CICLOFOS+DOXORR,54
A+C,54
046DOXORRUBICIN,54
DOCETAXEL / TAX,54
DOXO/CICLO/TAXO,54
4ACDD+12T,54
"AC, TRASTUZUMAB",54
DOXO/CFM,54
AC (04046),54
AC -TH,54
DOXORRUBICINA E,53
Herceptin,53
tc,53
TXT /,52
CARBO/PACLITAX,52
TAXOLAXOL MONOQ,52
PACLIPACLITAXEL,52
HCT,52
TAXOL+HERC,52
A.C,52
TRASTU/TAXOTERE,52
Tamoxifeno,52
AC/CARBO/PACLI,52
120PACLITAXEL+0,52
ADRIA/CTX,52
MTX/CICLO/FLUOR,52
FAC-T,51
AC NEOADJUVANTE,51
anastroz,51
HERCEPTIN+TAXOL,51
FAC+TXT,51
CAPECITABINA 50,51
AC+DCT,50
adria,50
TRASTUZU+PACLIT,50
AC-T/HERCEP,50
docet,50
PACLIRASTUZUMAB,50
AC/T/HERCEP,50
CICLOFOSFAMIDAD,50
TMX+ZOLA,50
CARBOCOM TAXOL,50
AC+PTX,50
AC-T+HERCEPTIN,50
AC/DCT,50
FAC X6,50
paclitaxelcarbo,50
AC +HERCEPTIN,50
DOXO+CICLO+DOCE,49
AC-D-H,49
TRASTU,49
ciclofosfamida,49
TAXOLCARBO,49
AC-TXT+H,49
ANASTROZOL1mg,48
"DOCETAXEL,CARBO",48
PT--AC,48
AC TC,48
fac-t,48
AC/Palitaxel,48
DOXO/ICLOHERCEP,48
CICLO+ DOXO,48
HERCEPTIN+DCT,48
NACATRINE,48
PACLITAXEL100MG,48
LETROOL,48
CDDP+GENZAR,48
4AC-4T,48
T A,48
AC T/ZOMETA,48
AC-T/H,48
DOXORRU+CICLOF,47
ACX4,47
AC-CICLOFOSFAMI,47
tmx,47
ac-dh,47
ACDD+TAXOL,47
AC-THDOCETAXEL),46
3AC,46
TAXOL/TRASTUZUM,46
069 -Docetaxel,46
CARBO/DOCE/HERC,46
F,46
DOXORRUB+CICLOF,46
doxociclo,46
CTX+MTX+5FU,46
Ac-t,46
TaxoleHerceptin,46
ac do,46
TAXOL1,46
Carboplatina+Pa,46
PACLITAXELHERC,46
AC+ TxT,45
"CARBO, PACLITAX",45
AC+DOCETAXEL+HE,45
AC +PCT,45
AC+FILGRAS,45
DOCE+CARBO+TRAS,45
TAXOL+HERCEPTIM,45
DOXOICLOHERCEP,44
TAXOL 4AC,44
TX CARBO,44
FAC +TxT,44
HERCEPTIN/DOCET,44
TAXOL+HERCEP,44
"TAXOL,CARBOPLAT",44
TAC D1,44
CMF CMF CLASSIC,44
ECTH,44
CICLOFOSFAMIDA(,44
DOXO+ CICLO,43
ANASTROZ,43
FAC +TXT,43
PACLITAXEL/CARB,43
AC+D,43
taxol+herceptin,43
FAC+DOCETAXEL,43
CISPLATINA+GENC,43
DOXORR/CICLOFOS,43
AROMASIN,43
DOXO+CICLOFOS,42
TRASTU/DOCE/CB,42
CICLO+DOCETAXEL,42
ACDD-TH,42
Doxorrubicina+c,42
genzar/cispla/p,42
trastuzumabe,42
"TAXOL,CICLOFOSF",42
TAC/GRANULOKINE,42
PACLITA/CARBOPL,42
"CICLO,DOCE,DOXO",42
AC_T,42
T+AC,42
AC: ADM+CTX + D,42
CARBOXOL SEMANA,42
"TAXOL,AC,ZOLADE",42
TAXOL/HERCEPTIM,42
46+34+120+145,42
CDDP+ADRIA,42
cmf,42
DOXO+GENUXAL,41
fac+t,41
ANAST+ZMT,41
anast,41
AC-DOXO+CICLO,40
DOCETA+CICLOFOS,40
CIS/ADRIA,40
Ac-Palitaxel,40
TRASTUZUMA/DOCE,40
PACLIADJ/NEO,40
AC/DOETAXEL,40
TRASTUZU/TAXOL,40
"CTX,DOXORRUBICI",40
TAXOLECARBO,40
TAXOTERE+HERCEP,40
4 AC,39
HERCEPTIN+AC+DO,39
ac-tc,39
"DOXO,CICLO",39
ADRIBLA+CICLOFO,39
AC +TXTH,39
DOXOCICLOFOSFA,39
NAVELBINE,39
AC+Trastuzuambe,38
PTX+AC,38
4AC+4TAXOL,38
CDDP+EPI,38
GRANULOKINE+DOX,38
4 AC2T,38
fac/t,38
AC-ca,38
AC7,38
CAPECITABI,38
CICLO+DOXO+PACL,38
AC- c,38
"AC /TAXOL,HERC",38
AC-TH-H,38
AC  TH,38
AC+T/C,38
TMX+HERCEPTIM,38
FASLODEX+ZOMETA,38
ACT-HRCEPTIN,38
CARBOHERCEPTIN,38
CARBO/DOCE/TRAS,38
T AC,38
12TH,38
AC+ TAXOL,37
DOCECICLO,37
TAXOL/AC,37
fac txt,37
"AC-T,CARBOPLAT",37
Trastuzumabe,37
"AC, HERCEPTIN",37
ACT+TRASTUZUMAB,37
TXT +Herceptin,37
acdh,37
DOXORRUBICINA (,36
4AC/12T,36
CARBOETAXOL,36
ACT CLASSICO,36
ac+t_,36
145,36
011 -Anastrozo,36
AC+TAXOL+TRAST,36
AC NEODJUVANTE,36
DOCE/ARBOHERCEP,36
"HERCEPTIN, TAMO",36
DOXORRUBICINA-C,36
tch,36
PACL,36
"HERCEPTIN, ADRI",36
4AC /T,36
"PACLITAXEL,CARB",36
TRASTUZUMABEDOC,36
HCP/TX,36
A C +T,36
PACLITAXEL+AC,36
AC-PALITAXEL,36
Trastuzumabe+Ta,36
CARBO+TAXOL+AC,36
AC.,36
HERCEPTIN + TXT,36
DOCE+CICLO+HERC,36
ac/txt,36
"TAXOL,CARBO,",36
TAXOL+GZ,36
EC-TH,36
GCT/DDP,36
TRASTU+AC,36
PLACITAXEL,35
TXT+CTX,35
CTX,35
doxorrubicinahe,35
"CMF,",35
ac/t,35
INIBIDOR DE ARA,35
GEMZAR+CISPLATI,35
CARBO/PACLITAXE,35
ADRIBLASTINA,35
CARBO+DOCE,35
ACT+TTZ,35
TAX,35
HERCEPTIN+TAXOT,35
ADRIAMICINA FL,34
DOCE/ERCEPTIN,34
XELODA+ZMT,34
FEC +T,34
GENUXAL,34
ACT(ADRIA+CICLO,34
4T+4AC,34
4AC/8T TRASTUZ,34
TAXOL/AREDIA,34
EXEM,34
CTH,34
DCP,34
ADRIBLASTINA +,34
AC TC+HERCEPTIN,34
AC (04+046),34
ACdd-,34
Anastrozol(011),34
DOCETACEL,34
doxo,34
TX ECARBO,34
ADRI,34
"CICLOSFOMIDA, D",34
T C,33
AC-DT,33
D-AC,33
DOCETAXEL + CIC,33
AC +Txt,33
CICLOFOSF+DOXOR,33
"TRASTUZUMAB, TA",33
DocetaxelTrastu,33
HERCEPTIN+ZOMET,33
DOCE/CARBO/HERC,33
"PACLITAXEL, TTZ",33
PACLITA/TRASTUZ,32
AC CT,32
GENUXAL/DOXO,32
FAC X,32
txt +hcp,32
TRASTUZU/TAXOTE,32
TRASTU+PACLITAX,32
TAXEL,32
GEMZAR + TAXOL,32
doxo+ciclo,32
TAXOTERE EPI,32
Ciclofosfamida,32
ACTHP,32
TAXOL+ADRIA,32
PCT CB,32
120+46+34,32
ATCH,32
CARBO+TAXOTERE,32
AC -DOCETAXEL,32
DOXOR+CICLOF,32
ac+txt+hercepti,32
CICLOFOSFAMI +,32
ACT+H,31
ct,31
"AC+T,CARBOPLAT",31
AC-CARBOTAXOL,31
AC -TAXANE,31
GENCITABINA+CAR,31
DOCE+TRASTUZUMA,31
PACLITAXEL HERC,31
CDDP+GENCITABIN,31
CMF 3,31
TMX/HRCEPTIN,31
CARBOAUC 2 COM,31
PAC,31
hcp,31
"AC, DOXO",31
"HERCEPTIN,",30
HERCEPTIN/PACLI,30
TH dorotocoloAC,30
AC+TRASTU,30
NVB,30
AC-TCLITAXELSE,30
TRAST/CARBO/DOC,30
"TAXOL, AC, CARB",30
TRASTUZU/TMX,30
PACLITAXEL FAC,30
4ac/1t,30
DOXORRUBICINA+H,30
AC +XOL,30
Trastuzumabe150,30
04AC+ 12T,30
"TAXOTERE,",30
AC+TXT+HERCEPT,30
"PACLI,DOXO,CICL",30
4AC+12PTX+17TRA,30
A C -T,30
FAC+TAXOL,30
"TAXOL,DOXO",30
TAXOL- ADRIA,30
L+T,30
34+46,30
CICLO/DOXO/FLUO,30
DOCETAXOL,30
ANASTROCOL,30
ciclo+doxo,30
TAXOL+CARBO+HER,30
CTD,30
AC +D,30
CICLO+DOCE+FILG,30
ac+ txt/hercept,30
AC/TC,30
145TRASTUZUMABE,30
ac +t,30
CARBOPLATINA+HE,30
AC: ADM+CTX+TXT,29
PACLITAXE/TRAST,29
DOCE/HERCEPTIN,29
DOCETAXEL+AC,29
AC-THANASTROZOL,29
ESQUE,28
DOXO+CICLOS,28
GEMZAR+TAXOTERE,28
"PACLITAXEL, DOX",28
DOCEICLO,28
AC=TAXOL,28
CARBO/DOCETAXOL,28
"PACLITAXEL,DOXO",28
ACX4/DOCETAXEL,28
TRASTUZUMABE/AC,28
DOCETAXEL/TRAST,28
PACLTAXEL,28
doce,28
Xeloda,28
DOCETAX/TRASTU,28
HERCEP+ANASTROZ,28
TRASTU+DOCE+CAR,28
anastrozo,28
"ANASTROZOL,TRAS",28
ANTRACICLINA,28
AC+PACLI,28
FAC 3,28
ZOMET,28
ac th,28
doxoiclo,28
"TAXILAN,",28
"PACLITAXEL,AC,",28
AC-CABOTAXOL,28
CARB+,28
TAXOTERE/TRASTU,28
ACDD+PACLI,28
ac/th,28
DTX,28
HERCEPTIN TAXOL,28
TAXOL/GZ,28
fac +txt,27
HERC+CARBO+DOCE,27
DOCETAXEL+GRANU,27
"TAMOXIFENO,AC,",27
DEXA,27
AC+TAXOL+HERCEP,27
CDDP+GEMZAR,27
adriamicinacicl,27
"TAMOXIFENO,",27
CAPACITABINA,27
TAM,27
TRAST+DOCE,27
facx3,27
ac -txt,27
AC/DOXO,27
AC -TXT,27
AC+PACLI+CARBO,27
HRCEPTIN,27
TAXO,27
DOXO+ CICLOFOS,27
ac-dt,27
"PACLITAXEL,HERC",27
PACLITAXELTRANS,26
TAMOXIFEN,26
TC4,26
CAPECITABINA (X,26
"PACLITAXEL, EPI",26
ACDD+TH,26
ACCT,26
TX/CA,26
LTZ,26
PACLITAXELAC,26
CICLO/DOXORRUB,26
TXCB,26
ACTTRASTUZUMA,26
"CARBO, ACT",26
"CMF,HERCEPTIN",26
AC P,26
CISP+FU,26
AC/TAOL,26
AACT,26
TAMOXIFENOEHERC,26
D/C,26
ac-ta,26
ACTSEMANAL- (,26
ACT (ACLITAXELS,26
TRASTUZU/DOCETA,26
XELODA+ZOMETA,26
DOCE/CAR/TRASTU,26
"GENUXAL, PACLIT",26
AC/TAOLHERCEPTI,26
PACLITAXEL/DOXO,26
CMF MMODIFICAD,26
GENCITABINA+CIS,26
AC -D,26
"TAXOTERE, HERCE",26
AC -TRCEPTIN,26
EPI/CICLO,26
TXT-EPI,26
ACT PCT NEOADJU,25
CTX+DOXO,25
AC /,25
TAXOL+TRAST,25
taxotere/hercep,25
TAX SEMANAL,25
PACLITAXEL+TH,25
acx4,25
TXT/HERC,25
FAC-TAXOTERE,25
TAXOL+CTX,25
PACLITAXEL+TRAN,25
TAXEL+HERCEPTIN,25
docetaxel,25
AC+DOCET,25
HYDREA,25
Pacli,25
"AC, TAXOTERE",25
DOXOLIPOSSOMAL,25
taxotere hercep,25
CDI,24
CARBO+ DOCETAX,24
DOXORRUBICINA/C,24
DOCETAXEL/ADRIA,24
ZMT+ANAS,24
"DOCETAXEL,TRAST",24
AC- TACLITAXEL),24
dc,24
ECD,24
DOCETAX/CARBO,24
4AC-02T,24
"AC, GRANULOKINE",24
EXEME,24
